DATE,EUEPUINDXM
1987-01-01,62.0092300000000000
1987-04-01,60.8192300000000000
1987-07-01,35.6073666666666667
1987-10-01,100.5273466666666667
1988-01-01,75.0404966666666667
1988-04-01,67.6684466666666667
1988-07-01,62.3551200000000000
1988-10-01,65.4487333333333333
1989-01-01,47.9677466666666667
1989-04-01,55.7082166666666667
1989-07-01,64.8157633333333333
1989-10-01,72.8041500000000000
1990-01-01,88.2110066666666667
1990-04-01,70.8807466666666667
1990-07-01,75.2977500000000000
1990-10-01,108.6619400000000000
1991-01-01,95.7700233333333333
1991-04-01,105.3258600000000000
1991-07-01,74.2629066666666667
1991-10-01,90.1638300000000000
1992-01-01,56.4288100000000000
1992-04-01,91.8034866666666667
1992-07-01,118.7687766666666667
1992-10-01,115.8402600000000000
1993-01-01,151.9890933333333333
1993-04-01,110.1483266666666667
1993-07-01,131.5381033333333333
1993-10-01,93.7747266666666667
1994-01-01,92.8518833333333333
1994-04-01,85.6846566666666667
1994-07-01,83.6213966666666667
1994-10-01,115.6229333333333333
1995-01-01,125.5214500000000000
1995-04-01,81.3763266666666667
1995-07-01,83.9118466666666667
1995-10-01,89.6303033333333333
1996-01-01,112.3391266666666667
1996-04-01,102.4640600000000000
1996-07-01,83.1502566666666667
1996-10-01,93.6085100000000000
1997-01-01,121.5993333333333333
1997-04-01,123.9689933333333333
1997-07-01,91.9037500000000000
1997-10-01,94.0185933333333333
1998-01-01,85.3347000000000000
1998-04-01,88.9747166666666667
1998-07-01,138.8868366666666667
1998-10-01,120.4608466666666667
1999-01-01,98.3051566666666667
1999-04-01,90.6635300000000000
1999-07-01,87.4409900000000000
1999-10-01,85.8823700000000000
2000-01-01,66.7844966666666667
2000-04-01,72.2052766666666667
2000-07-01,64.1526266666666667
2000-10-01,93.6380433333333333
2001-01-01,97.9439933333333333
2001-04-01,84.1175966666666667
2001-07-01,129.0626033333333333
2001-10-01,160.4779700000000000
2002-01-01,97.7187300000000000
2002-04-01,116.1110933333333333
2002-07-01,145.4381266666666667
2002-10-01,151.8241933333333333
2003-01-01,211.5138233333333333
2003-04-01,150.3293200000000000
2003-07-01,85.9938066666666667
2003-10-01,88.8228400000000000
2004-01-01,92.4535000000000000
2004-04-01,108.1777200000000000
2004-07-01,94.2881866666666667
2004-10-01,110.4249200000000000
2005-01-01,71.7928300000000000
2005-04-01,95.9781866666666667
2005-07-01,109.4637233333333333
2005-10-01,76.1477100000000000
2006-01-01,74.8084066666666667
2006-04-01,87.1134100000000000
2006-07-01,72.5669033333333333
2006-10-01,73.3282966666666667
2007-01-01,63.9910400000000000
2007-04-01,60.3348833333333333
2007-07-01,103.0294700000000000
2007-10-01,97.5441700000000000
2008-01-01,142.9714366666666667
2008-04-01,93.3329533333333333
2008-07-01,112.0909666666666667
2008-10-01,170.0502666666666667
2009-01-01,144.3838366666666667
2009-04-01,118.7327400000000000
2009-07-01,97.2164233333333333
2009-10-01,117.7700800000000000
2010-01-01,138.8603033333333333
2010-04-01,175.8307866666666667
2010-07-01,173.6871466666666667
2010-10-01,180.6350933333333333
2011-01-01,139.9596833333333333
2011-04-01,149.3398600000000000
2011-07-01,231.2531366666666667
2011-10-01,258.4078866666666667
2012-01-01,195.8905000000000000
2012-04-01,232.0845833333333333
2012-07-01,189.1902333333333333
2012-10-01,222.7708500000000000
2013-01-01,226.4428200000000000
2013-04-01,174.0989766666666667
2013-07-01,164.1525666666666667
2013-10-01,175.0763566666666667
2014-01-01,153.2608233333333333
2014-04-01,124.8578333333333333
2014-07-01,147.8216266666666667
2014-10-01,159.4931633333333333
2015-01-01,151.9414400000000000
2015-04-01,168.9512400000000000
2015-07-01,174.2198400000000000
2015-10-01,158.8840566666666667
2016-01-01,221.7621366666666667
2016-04-01,279.5844900000000000
2016-07-01,290.1472566666666667
2016-10-01,307.6300566666666667
2017-01-01,274.7202333333333333
2017-04-01,240.3995866666666667
2017-07-01,178.9634300000000000
2017-10-01,210.1133500000000000
2018-01-01,169.0586400000000000
2018-04-01,202.6375000000000000
2018-07-01,193.3025833333333333
2018-10-01,250.9794766666666667
2019-01-01,235.7376533333333333
2019-04-01,205.3505066666666667
2019-07-01,250.6399833333333333
2019-10-01,236.3826300000000000
2020-01-01,255.1419766666666667
2020-04-01,275.9322633333333333
2020-07-01,246.8351433333333333
2020-10-01,282.8978900000000000
2021-01-01,211.3745000000000000
2021-04-01,157.8864133333333333
2021-07-01,197.1045800000000000
2021-10-01,247.7594000000000000
2022-01-01,292.3713733333333333
2022-04-01,331.9241533333333333
2022-07-01,376.2083300000000000
2022-10-01,351.4006900000000000
2023-01-01,.
